id,normal,shift,alt,alt_shift,math,math_shift,math_alt,math_alt_shift
0,?,^,😊,😄,⌫,⊣,😊,😄
1,8,!,😶,😌,↕︎,⊥,😶,😌
2,6,€,😏,👌🏼,¥,⊤,😏,👌🏼
3,4,$,🤪,😡,⌦,⊢,🤪,😡
4,2,°,🤯,❌,⇕,⊬,🤯,❌
5,0,~,😮,😇,⇤,⊨,😮,😇
6,=,|,☀️,❄️,⇥,⊭,️☀️,❄️
7,1,&,👩🏻‍💻,🌏,⏎,&,👩🏻‍💻,🌏
8,3,#,˛,🌍,⌥,#,˛,🌍
9,5,%,´,🌎,⌘,%,´,🌎
10,7,[,^,🌳,✖,[,^,🌳
11,9,],`,🐨,✗,],`,🐨
12, ,@,🙃,🙈,✘,@,🙃,🙈
13,q,Q,🤔,🧐,↖,∆,🤔,🧐
14,k,K,😘,😚,↑,¬,κ,Κ
15,s,S,ß,😱,↗︎,∄,σ,Σ
16,r,R,🤣,🌈,⇖,∏,ρ,Ρ
17,z,Z,😴,📘,⇑,∑,ζ,Ζ
18,x,X,😆,😂,⇗,∖,ξ,Ξ
19,t,T,😭,😢,✓,∎,θ,Θ
20,p,P,😝,😜,☝︎,∪,π,Π
21,c,C,🙌🏼,😎,✔︎,≻,γ,Γ
22,v,V,✌🏼,🙄,⏏,≺,τ,Τ
23,(,{,🙁,😒,⇡,≽,🙁,😒
24,),},🙂,😃,↭,≼,🙂,😃
25,n,N,😔,😞,←,∇,ν,Ν
26,a,A,ä,Ä,↓,∀,α,Α
27,e,E,😅,😪,→,∃,ε,Ε
28,i,I,😍,🤩,⇐,∈,ι,Ι
29,y,Y,👍🏼,💪🏼,⇓,∉,υ,Υ
30,j,J,😣,😫,⇒,√,χ,Χ
31,o,O,ö,Ö,☜,⊃,ο,Ο
32,u,U,ü,Ü,☟,∩,ψ,Ψ
33,l,L,🤤,🦁,☞,⊂,λ,Λ
34,f,F,🔥,✅,⇠,⊇,ω,Ω
35,w,W,🤗,👋🏼,⇣,⊆,🤗,👋🏼
36,',"""",😥,😰,⇢,∡,😥,😰
37,/,\,💕,💜,↔︎,×,💕,💜
38,<,>,🍪,🏳️‍🌈,↙︎,÷,🍪,🏳️‍🌈
39,d,D,🐳,😈,↘,∂,δ,Δ
40,g,G,😁,☺,⇔,∧,φ,Φ
41,m,M,😋,😛,⇙,∨,μ,Μ
42,",",;,😉,🤨,⇘,∞,😉,🤨
43,h,H,💙,❤️,◻︎,∫,η,Η
44,b,B,☝🏼,🤫,☑︎,⊅,β,Β
45,.,:,🍹,☕,☒,⊄,🍹,☕
46,-,_,😑,😐,⊖,⊉,😑,😐
47,+,*,😵,😲,⊕,⊈,😵,😲